output,ground_truth,label
,TRUE,0
,TRUE,0
,TRUE,0
,TRUE,0
,3765,0
,61,0
,1243,0
,0,0
,ING España,0
,es,0
,juan prin,0
,reply,0
,"['Lavincompae', '#NI UNA MENOS \xa0♐\xa0✊\xa0🚺', 'SFC The World']",0
,"['es', 'es', 'es', 'es', 'es']",0
,"['Correctorada', 'El Joker', 'Xenia Viladas', 'DrJaus \xa0🇪🇸']",0
,"['reply', 'original']",0
,"[0, 0, 0, 0, 3]",0
,"[61, 60, 59]",0
,"[0, 0, 1, 0]",0
,"[1, 1, 1, 1, 1, 1]",0
,TRUE,0
,TRUE,0
,FALSE,0
,TRUE,0
,20,0
,1125,0
,160,0
,80.94,0
,Poison,0
,Shuckle,0
,Flying,0
,Mega Mewtwo Y (Psychic),0
,"['Eternamax Eternatus', 'Mega Mewtwo X', 'Mega Mewtwo Y']",0
,"['Shedinja', 'Diglett', 'Alolan Diglett', 'Magikarp', 'Pichu']",0
,"['Water', 'Normal', 'Grass', 'Bug']",0
,"['Mega Heracross', 'Mega Tyranitar', 'Mega Scizor', 'Tyranitar', 'Scizor', 'Ursaring']",0
,"[250, 230, 200, 160, 160]",0
,"[20, 31, 50]",0
,"[135, 127, 125, 125]",0
,"[175, 180, 180, 185, 190, 194]",0
,TRUE,0
,FALSE,0
,FALSE,0
,TRUE,0
,0.782633618,0
,1002,0
,0.37321404,0
,0.03536414,0
,Policy Officer,0
,Governor,0
,Mortgage Banker,0
,Program Manager,0
,"['Book Publisher', 'Bureau Chief', 'Publisher']",0
,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",0
,"['U.S. Senator', 'Congressman']",0
,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",0
,"[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",0
,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",0
,"[0.0353641396193574, 0.0355792960526332, 0.0399752446723049, 0.0573280662585624, 0.0591099063085338, 0.0592781792571762]",0
,FALSE,0
,FALSE,0
,TRUE,0
,TRUE,0
,3574,0
,14.7459746,0
,100,0
,8848,0
,Massachusetts Institute of Technology,0
,B2,0
,en,0
,"member, portion, body, end",0
,"['International Business Machines Corporation', 'Samsung Electronics Co., Ltd.', 'Google Inc.']",0
,"['utility', 'design', 'plant', 'reissue']",0
,"['B2', 'S1', 'B1', 'P2', 'P3']",0
,"['habit, plant, foliage, flowers', 'soybean, plant, cultivar, soybean cultivar']",0
,"[20, 1, 18, 19]",0
,"[9479771.0, 9325365.0, 9323284.0]",0
,"[29, 30, 46, 51, 70]",0
,"[9479476.0, 9479477.0, 9479478.0, 9479479.0, 9479480.0, 9479481.0]",0
,TRUE,0
,FALSE,0
,FALSE,0
,TRUE,0
,0.782633618,0
0,1002,0
13487,0.37321404,0
,0.03536414,0
,Policy Officer,0
,Governor,0
,Mortgage Banker,0
,Program Manager,0
,"['Book Publisher', 'Bureau Chief', 'Publisher']",0
,"['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
,"['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",0
,"['U.S. Senator', 'Congressman']",0
,"[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",0
"| user_favourites_count | count |
| --- | --- |
| 20 | 63 |","[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",0
,"[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",0
"The 2 highest numbers of retweets a tweet in the dataset has are:

1. 68610
2. 59715","[0.0353641396193574, 0.0355792960526332]",0
,FALSE,0
,FALSE,0
,FALSE,0
,FALSE,0
,18424,0
,367,0
,72,0
,113,0
,Radio/TV,0
,Skilled,0
,Existing Credits Paid Back Duly Till Now,0
,Less than 100 DM,0
,"['Highly Skilled', 'Skilled', 'Highly Skilled']",0
,"['Skilled', 'Skilled', 'Skilled', 'Unskilled - Resident']",0
,"['Skilled', 'Skilled', 'Unskilled - Resident', 'Highly Skilled', 'Skilled']",0
,"['Highly Skilled', 'Highly Skilled']",0
,"[18424, 15945, 15857]",0
,"[72, 60, 60, 60]",0
,"[4, 4, 4, 4, 4]",0
,"[75, 75]",0
Yes,FALSE,0
Yes,FALSE,0
"Yes, based on the provided table, there is no fat (0g) in the following food items:

* 'Total Fat (g)': 0.0 (8 times)",TRUE,1
"| Food | Protein (g) |
| --- | --- |
| None | 0 |",TRUE,0
3,0,0
Average = 0.0527,0.08465,0
"There are 14 foods in the table that have a sodium content of more than 1 gram:

1. 0.36
2. 0.69
3. 0.18
4. 4.73
5. 4.67
6. 6.02
7. 4.39
8. 1.87
9. 0.68
10. 0.98
11. 0.27
12. 4.58
13. 2.1
14. 5.98
15. 6.84
16. 3.97
17. 4.51
18. 8.84
19. 2.33
20. 1.31
21. 8.97
22. 0.61
23. 2.15
24. 2.9
25. 3.15",18,0
"According to the table, the highest amount of protein (in grams) found in a food item is 0.2748 grams.",0.2748,1
"According to the table, the food with the highest calorie content is:

**Hamburger (8.98 kcal)**",bacon,0
Champagne contains the most sugar with 0.8212g of sugar.,honey,0
"{'name': 'mushroom', 'Total Fat (g)': 0.0}",honey,0
"According to the table, the food with the highest amount of protein is:

* Hamburger (beef) with 0.2696 g protein

However, it's worth noting that the protein content for 'peanuts' and 'hamburger (beef)' are also relatively high.",beef,1
"Here are the top 5 foods with the most calories based on the table:

1. **Bacon** (8.98 kcal)
2. **Hamburger** (8.98 kcal)
3. **Pizza** (5.67 kcal)
4. **Champagne** (5.18 kcal)
5. **Red wine** (4.97 kcal)

Note: Please keep in mind that this is based on a small sample size and may not be representative of the typical calorie content of these foods.","['bacon', 'peanuts', 'chocolate bar', 'popcorn', 'cookie']",0
"Based on the table, the top 3 foods with the least amount of sugar are:

1. Tomato (0.0066 g)
2. Avocado (0.0062 g)
3. Bacon (0.0 g)","['chestnut', 'pancakes', 'cheese']",0
"1. peanuts (0.4924g)
2. beer (0.995g)
3. bacon (0.3099g)
4. hamburger (0.1105g)","['bacon', 'peanuts', 'cheese', 'popcorn']",0
"Based on the table, the 6 foods with the least amount of protein are:

1. potato (0.0007g)
2. potato (0.0007g)
3. croissant (0.0007g)
4. rice (0.0007g) 
5. spaghetti (0.0007g)
6. black tea (0.0007g)","['candy', 'black tea', 'bacon', 'champagne', 'red wine', 'red apple']",0
"Here are the 5 highest calorie counts found in the dataset:

1. 8.98
2. 5.67
3. 5.0
4. 4.97
5. 4.16","[8.98, 5.67, 5.18, 5.0, 4.97]",0
"Based on the table, the 3 lowest amounts of sugar are:

1. 0.0066 (at index 16)
2. 0.001 (at index 55)
3. 0.0167 (at index 22)","[0.0, 0.0, 0.0]",0
"1. 0.4924
2. 0.995
3. 0.3099
4. 0.281","[0.995, 0.4924, 0.3099, 0.281]",0
"The top 6 lowest amounts of protein found in the dataset are:

1. 0.0
2. 0.0007
3. 0.0007
4. 0.003
5. 0.0046
6. 0.005","[0.0, 0.0, 0.0007, 0.0007, 0.0007, 0.002]",0
,TRUE,0
,FALSE,0
